Country,Date,Vaccine,Total Vaccinations
Estonia,2021-06,Pfizer/BioNTech,2282644
Estonia,2021-07,Johnson&Johnson,150400
Estonia,2021-07,Moderna,505081
Estonia,2021-07,Oxford/AstraZeneca,1177141
Estonia,2021-07,Pfizer/BioNTech,3639447
Estonia,2021-08,Johnson&Johnson,174282
Estonia,2021-08,Moderna,467004
Estonia,2021-08,Oxford/AstraZeneca,948205
Estonia,2021-08,Pfizer/BioNTech,3484348
Estonia,2021-09,Johnson&Johnson,189001
Estonia,2021-09,Moderna,544039
Estonia,2021-09,Oxford/AstraZeneca,949913
Estonia,2021-09,Pfizer/BioNTech,3846066
Estonia,2021-10,Johnson&Johnson,282918
Estonia,2021-10,Moderna,755684
Estonia,2021-10,Oxford/AstraZeneca,1187878
Estonia,2021-10,Pfizer/BioNTech,5183231
Estonia,2021-11,Johnson&Johnson,276267
Estonia,2021-11,Moderna,672497
Estonia,2021-11,Oxford/AstraZeneca,950613
Estonia,2021-11,Pfizer/BioNTech,4746017
Estonia,2021-12,Johnson&Johnson,370249
Estonia,2021-12,Moderna,959343
Estonia,2021-12,Oxford/AstraZeneca,1188429
Estonia,2021-12,Pfizer/BioNTech,6584167
Estonia,2022-01,Johnson&Johnson,306512
Estonia,2022-01,Moderna,867847
Estonia,2022-01,Oxford/AstraZeneca,950809
Estonia,2022-01,Pfizer/BioNTech,5688035
Estonia,2022-02,Johnson&Johnson,309817
Estonia,2022-02,Moderna,912022
Estonia,2022-02,Oxford/AstraZeneca,950845
Estonia,2022-02,Pfizer/BioNTech,5876223
Estonia,2022-02,Novavax,0
Estonia,2022-03,Johnson&Johnson,233261
Estonia,2022-03,Moderna,693907
Estonia,2022-03,Novavax,207
Estonia,2022-03,Oxford/AstraZeneca,713143
Estonia,2022-03,Pfizer/BioNTech,4457098
Finland,2021-01,Johnson&Johnson,0
Finland,2021-01,Moderna,4500
Finland,2021-01,Oxford/AstraZeneca,44
Finland,2021-01,Pfizer/BioNTech,377752
Finland,2021-02,Johnson&Johnson,0
Finland,2021-02,Moderna,40003
Finland,2021-02,Oxford/AstraZeneca,84417
Finland,2021-02,Pfizer/BioNTech,1252857
Finland,2021-03,Johnson&Johnson,0
Finland,2021-03,Moderna,162087
Finland,2021-03,Oxford/AstraZeneca,607845
Finland,2021-03,Pfizer/BioNTech,2341250
Finland,2021-04,Johnson&Johnson,0
Finland,2021-04,Moderna,513264
Finland,2021-04,Oxford/AstraZeneca,1437859
Finland,2021-04,Pfizer/BioNTech,5566615
Finland,2021-05,Johnson&Johnson,0
Finland,2021-05,Moderna,833928
Finland,2021-05,Oxford/AstraZeneca,1502201
Finland,2021-05,Pfizer/BioNTech,7935912
Finland,2021-06,Johnson&Johnson,0
Finland,2021-06,Moderna,1369172
Finland,2021-06,Oxford/AstraZeneca,1692884
Finland,2021-06,Pfizer/BioNTech,12006146
Finland,2021-07,Johnson&Johnson,0
Finland,2021-07,Moderna,2363471
Finland,2021-07,Oxford/AstraZeneca,2617828
Finland,2021-07,Pfizer/BioNTech,20648751
Finland,2021-08,Johnson&Johnson,0
Finland,2021-08,Moderna,2711684
Finland,2021-08,Oxford/AstraZeneca,2213006
Finland,2021-08,Pfizer/BioNTech,20633273
Finland,2021-09,Johnson&Johnson,0
Finland,2021-09,Moderna,3411190
Finland,2021-09,Oxford/AstraZeneca,2213820
Finland,2021-09,Pfizer/BioNTech,23614255
Finland,2021-10,Johnson&Johnson,0
Finland,2021-10,Moderna,4977598
Finland,2021-10,Oxford/AstraZeneca,2767992
Finland,2021-10,Pfizer/BioNTech,32124660
Finland,2021-11,Johnson&Johnson,0
Finland,2021-11,Moderna,4242696
Finland,2021-11,Oxford/AstraZeneca,2214820
